"","State","count","MeanWhiteSher","MeanWhiteProp","sherPopDif"
"1","AL",67,0.835820895522388,0.661019402985075,0.174801492537313
"2","AR",76,0.921052631578947,0.770275,0.150777631578947
"3","AZ",15,0.933333333333333,0.528253333333333,0.40508
"4","CA",58,0.913793103448276,0.570956896551724,0.342836206896552
"5","CO",62,0.967741935483871,0.766379032258064,0.201362903225807
"6","DE",3,1,0.674833333333333,0.325166666666667
"7","FL",65,0.938461538461538,0.707824615384615,0.230636923076923
"8","GA",159,0.867924528301887,0.640019496855346,0.227905031446541
"9","IA",99,1,0.930506060606061,0.0694939393939394
"10","ID",44,0.977272727272727,0.843629545454545,0.133643181818182
"11","IL",95,0.957894736842105,0.879305263157895,0.0785894736842105
"12","IN",92,0.978260869565217,0.919278260869565,0.0589826086956522
"13","KS",104,0.980769230769231,0.867361538461538,0.113407692307692
"14","KY",117,0.965811965811966,0.924554700854701,0.041257264957265
"15","LA",65,0.923076923076923,0.628155384615385,0.294921538461538
"16","MA",14,0.928571428571429,0.804542857142857,0.124028571428571
"17","MD",24,0.791666666666667,0.701333333333333,0.0903333333333333
"18","ME",16,1,0.9518625,0.0481375000000001
"19","MI",83,0.975903614457831,0.891628915662651,0.0842746987951808
"20","MN",86,1,0.905398837209302,0.0946011627906976
"21","MO",113,0.964601769911504,0.916027433628319,0.0485743362831857
"22","MS",80,0.6375,0.55109625,0.08640375
"23","MT",54,0.962962962962963,0.876075925925926,0.086887037037037
"24","NC",100,0.79,0.690697,0.099303
"25","ND",51,1,0.913617647058824,0.0863823529411765
"26","NE",90,0.977777777777778,0.912666666666667,0.0651111111111111
"27","NH",10,0.9,0.94154,0.04154
"28","NJ",21,0.80952380952381,0.65137619047619,0.158147619047619
"29","NM",33,0.606060606060606,0.441254545454545,0.164806060606061
"30","NV",16,0.9375,0.759475,0.178025
"31","NY",55,0.963636363636364,0.877710909090909,0.0859254545454545
"32","OH",87,0.988505747126437,0.915857471264368,0.072648275862069
"33","OK",75,0.946666666666667,0.729998666666667,0.216668
"34","OR",36,1,0.827883333333333,0.172116666666667
"35","PA",65,0.923076923076923,0.900550769230769,0.0225261538461539
"36","SC",45,0.777777777777778,0.573973333333333,0.203804444444444
"37","SD",63,1,0.838196825396825,0.161803174603175
"38","TN",94,0.978723404255319,0.877153191489362,0.101570212765957
"39","TX",251,0.836653386454183,0.595071314741036,0.241582071713147
"40","UT",29,0.931034482758621,0.860420689655172,0.0706137931034483
"41","VA",123,0.845528455284553,0.733962601626016,0.111565853658537
"42","VT",14,1,0.951357142857143,0.0486428571428571
"43","WA",39,1,0.784633333333333,0.215366666666667
"44","WI",72,0.986111111111111,0.904633333333333,0.0814777777777779
"45","WV",54,1,0.951074074074074,0.0489259259259259
"46","WY",23,0.956521739130435,0.8842,0.0723217391304348
